emotion,example
desire,"And I really wanted to, I knew I always wanted to pursue a PhD, but in Nepal it's kind of different, completely different than what it is here Like here, you have to go through some coursework, you know, like those kind of things And then the other thing was, I wanted to do my PhD in rhetoric and writing and in Nepal the most, the closest you could get is PhD in English with focus in literature So that's what I didn't want to do I wanted to do something kind of different than what my previous degrees were"
desire,"Oh, that’s a great question I'm happy, yeah, I'm happy to talk about that So in my Masters thesis, so it's, you know, a lot of times students, when doing their Masters in literature, would focus on like analyzing certain books or certain characters or novels, like mostly novels But I wanted to do the different route because I wanted, I already knew I wanted to do some kind of rhetoric kind of, like rhetoric kind of thesis, so it will help me to get a PhD in the US on like- rhetoric Dr"
desire,"Yeah, so you did your homework Yeah, so my first book is already finished, and it will come out sometime in April through June So it is about Nepal earthquake and Hurricane Maria in Puerto Maria, so that's already done I want to make that book open access, and I kind of like fought and asked every dollar within this university to make it open access So we have an agreement with the publisher that when its published, it's gonna be open access book, because I want to make sure that the people that I'm writing for- excuse me- I want to make sure that the people that I'm writing for and writing about have an access to this academic book"
desire,"If you look at the history, a lot of them started out by us, the college students who two boys did and started before was the nastiest peak in the nation Like I said, nationally, it's already May, but no one in college celebrated or, and therefore local communities don't celebrate it because no one is aware of it or people don't put much emphasis on it, even the media So my goal, so when I became president, I was like, you know what I trust my, my exec board I think even though we have only two, three months to do this, I'm going to try, see if we can do it and got in contact with the vice president student affairs"
desire,"Um well my, it like I'm applying for jobs now Some hoping I have something planned out prior to graduation And I hope I get a break between graduation and the first day of my work because I definitely want to travel to Greece Like that's my, like, I love traveling, I love traveling So that's my like, thing that like I've been wanting to do it"
desire,"So, I went to medical school in Kanpur, and then, at that time, our, some young lecturers, and yeah, young professors were coming from abroad And most of them were coming back from England with the degrees of, medicine does MRCP is for surgeons and FRCS So, these young doctors are coming from England returned with a foreign degrees, and all that We looked up to them as some kind of role model, and we always, that was my dream One of these days, when I finish my education, maybe I’ll go to England and I’ll do my MRCP, come back, and then I’ll--"
amusement,"And um it was funny when they did the—we were together all through high school When we did the um—they did, you know how they do the high school superlatives Malindi: Like we got, always, every year got um “most likely to tie the knot ”"
amusement,"My experience was very peculiar, there was one class teacher Mr Rashid, I don’t remember his name a Muslim class teacher he would insist us that we must wear cap in class and we used to wear half shorts half pant pore jetam but he insisted in my class every Muslim student must wear cap and this surprised me and what he used to do was borrow cap from other Muslims in his class and secondly one day we had lot of Hindu students but one day we learnt that we have to go to Station, Railway Station For what to receive Nawab Bahadur from Dhaka he was visiting Faridpur to organize Muslim League and all that and some people came and during school hours so we some of us were taken to the Railway Station and Headmaster and obviously we had permission then the Headmaster allowed us and I had first glimpse of this Nawab so called Nawab, very fair, and he could not speak in Bengali so “ aami bolteche” that you know I was very amused “ je aapnader bhalo korbe aami”"
amusement,"They are but it wasn’t so much the men teachers We had fantastic teachers like Gopinath Bhattacharya I told you Kalidas Babu’s brother Then in Bengali, in English, Tarak Sen in English, Bahabotosh Dutta in Economics, there was a Sushobhan Sarkar in History and the funny thing is in Presidency College that even though we were doing philosophy honors, we quite often went and sat at Sushobhan Sarkar’s class just to listen to him, and there was no, you know, in the sense no stopping"
amusement,"I then stayed in towards north, more near Scottish Church College a place called Oxford Mission , a hostel a small hostel but very good So from there I studied there what happened, a very funny thing happened so that is a very nicely managed hostel by Christian father Oxford Mission and superintendent was a young man very efficient I forget his name So the first floor had a verandah, a very wide verandah The first floor verandah was kept two things A very substantial wooden stand for newspapers slanting two newspapers on that side and two newspapers on this side They were very well equipped I mean furnished small room table a beautiful table lamp I mean of brass, a brass table lamp, and a cot just a plain cot without any mattress"
amusement,"I should have been with some white person and you know He was very good, he was such an interesting man you know but that had stuck me I couldn't see those as prejudice that's all but not again theorizing what it meant about colonial Then at the residential course they took to pieces Pannikar's Indian and Western Dominance, they kept on calling Panic-er, oh what what panic, panic, and they made fun of it, and the students were encouraged to make fun of this book, and the book is very important, anti-colonial And that was very amusing"
amusement,"” You know, like, they don't believe that I'm a professor It's hard for people, and this is like people in the community- they find it very difficult to know that having an accent, I can teach English SB: Or, you know, I look different; I sound different; how can I teach English So it's kind of like funny, like, I come across like every now and then, and Dr Sweta Baniya Oral History; 11 this is usually like, white people commenting on that"
amusement,"And then next thing I know we see things saying, all classes are canceled and all of us go back to our apartment or dorm rooms or whatever And so, yeah, so, and then of course after that day which is funny, cause that next day was supposed to be, Virginia Tech's  Fifth annual celebration of Diversity Show that's done That's put on in Burruss by all the different organizations on campus And the administrators wanted us to cancel that because they thought that there were going to be be riots in front of us, but our student leaders said that that we should actually do it, it's more reason to do it, to continue having the the diversity show to show our diversity and you know, of us as a campus can come back together And so we did"
amusement,"SoI said, So what are the difficulties that you had Or your family had So I said, you could talk about individual case if you know, but you have no right to make a generalized statement So that was, sometimes I had this outburst, but politely, I said it to expose that you had the best Medical College in Hyderabad Anyway so those are the two stories in Connecticut Another funny story is that we found out any time you applied for social security number, the people from Tamil and Telugu land had a hard time was it would come back refused because your father's last name and your last name did not match"
amusement,"It’s funny – I left them, got the job, left them, they gave me the job again I was doing a good job for them They also sent me to school I took a six-month course in metallurgy, so I know my steel analyses – you know, stainless steel, carbon steel – so that chemistry background, metallurgy background helped me through"
amusement,"Let’s see, Senator Fulbright – I would say in the 50s Those who got tuition plus room and board, they were Fulbright Those that just got tuition, they were half- bright That was the big joke That’s funny, I still remember that – somebody saying, “Oh, I’m only half-bright"
curiosity,"Within East Bengal But this is interesting, because why was the necessity of establishing a new Muslim school, particularly after Partition Was it because the Muslim community was threatened, psychologically or insecure"
curiosity,And where did you stay when you were going to college At home I am just curious how you would come to college What was the actual route that you --
curiosity,"If we can get just a synoptic response, the 1960s was -- no sorry, this period, 1970s was a period of let’s say the coming in of the left in a big way, not just in terms of politics but also in terms of scholarship and Professor Dasgupta, Ashin Dasgupta is known as an important figure offering an alternative, at least this is how he's understood often in the field and your scholarship can also be understood as not in the Marxist vein, offering a different approach so I am wondering how you, I mean, coming back to this changing intellectual environment, experienced it and how, did you feel it was in some ways an important project for you as a scholar to provide a different approach or not Did you see your project as political in that sense that you had to provide a different approach to the more Marxist CPM trajectory that was becoming increasingly powerful It’s a big question at the end"
curiosity,"So how was it that…it's interesting in Calcutta that it seems, as you said, the north was considered, supposed to be aristocratic the real Calcutta Supposed to be the aristocratic part, the real Calcutta and the new Calcutta, the South Calcutta, which was coming up and which soon became, actually, the hub of the cultural and educational life of Calcutta A number of very important and renowned intellectuals lived"
curiosity,did you learn a lot from the curriculum or did you find it somewhat uninteresting What was your impression Take one…
curiosity,"Well that is interesting Now in terms of the very important books that you remember you mention kafka which makes me wonder about the world beyond Britain and were you conscious at that time of when you said reading western books when you said you were consious of the distinction is for example between America and British and German and French or for the student of Presidency College was this all in some ways and the western, western culture, the western tradition"
curiosity,"And then also, within that community, we also had friends who were in churches and were interested in seeing if we were interested in Page 6 connecting with them in that capacity and I was always curious about new religions So, I think that's one community that I got pretty close with I went to a couple Bible studies with my friends And that was also a really interesting way Hello"
curiosity,"I see… and how did you find that experience of shifting from student to faculty Hm…was there anything surprising to you about your first couple of years in America, were you surprised by anything in the culture, or the people What did you think of Americans more broadly when you first arrived And who did you primarily socialize with – was it mostly Indians or…"
curiosity,We were only a few of them in the classroom Some of them even didn't mind smoking in the class in those days Those things made me very curious to find out what was the reason They were very different relationship
curiosity,"That again has to do with history, which you are trying to record here PS: All this makes me very curious about the educational framework you grew up in Can you describe a little bit India Association of Minnesota Oral History Project  8about your family’s values about education when you were growing up and how you viewed education and how it began to shape your life"
approval,Yes very well They were very famous school of teachers in Economics in those days Mostly they were influenced by Keynesian thinking
approval,"Yes, yes, I matriculated from Priya Nath High School which is now known as Nawabpur Government High School We were the last batch of that private school before it was taken over by the government Then I studied at the Jagannath College then at the university"
approval,He agreed because at that time he was at the helm of what is called the Maulana Azad Kalam Institute of Asian Studies and he was encountering difficulties in setting up Maulana Abul Kalam Azad Institute of Central Asian Studies That ways you know it has caught me and the first batch of teachers who willingly co operated with me to take the trouble of moving from this building to another building and I had also taken the part of looking after all the 8 papers I had to learn all the 8 papers to reason to very quickly to advise students to go about
approval,"Yes, absolutely, I did speak to the oh on the lives of the cosmopolitan well the 60's the '68 revolution, an amazing time for the students, an era Oh, fully, we were involved but only as I mean we didn't we didn't go out and demonstrate but yeah, I must confess but yes very much so"
approval,"Sure Yeah So initially, honestly, when I first joined, the reason that I wanted to get a degree in the United States was because in Nepal, after the last two years of high school is what we call college And that's when you choose, if either you do science, humanities or management, and then after that you would choose a really accelerated and specific program, and I didn't feel ready I was doing biology already, because at that point, that's what made more sense to me"
approval,"Exactly Exactly So, there are umpteen imageries in all our myth--It’s full of values So what I do is I bring to the audience, my aim in teaching the students is the value of those values Your values are there, you don’t tell the truth"
approval,"You’re right, and I had a problem that time trying to accept the fact that I would be doing a little bit of biology, I would have to read those books But I was told that if I wanted to do science, that would be the most appropriate thing to study because there is a lot of science to be done in that area That was explained by my college professors"
approval,You’re right That sort of was the intention of coming to Einstein Plus the fact was that department at that time was the best department in that school
approval,"Oh yeah, I was very much interested in it In fact, in 1946 when I was living in another town called Nagpur – my father had moved from Allahabad to Nagpur and became Dairy Development Officer for a state called C P and Berar I was going to a school called Dharampeth High School, and in 46, some people asked me if I would stand in front of the school and tell kids not togo to school today because the French are killing Vietnamese"
approval,"Yeah it is challenging It was challenging but I liked it And because my father could speak in English, he had some English knowledge, he gave us some initial, you know, training in English So I was generally comfortable But there were students who could not read in English"
annoyance,"And quite a number of political decisions of the government has to take verge on those values Do you need this kind of aam aadmi deshi It is a debate even the common man living in the cities will not be able to participate and realize what is the problem with the city But you have to take a decision on that and what happened the democracy made the government made another great mistake, great mistake committed by Jawaharlal Nehru himself which is that they put emphasis on higher education and establish large number of institutions of repute, research and teaching but neglected primary education, school education So this neglect created a kind of a filter to take out those people from the society for training who had money to buy the education"
annoyance,"So I lived in the house for 4 years, rhappily, so but yeah that's my… Then River Forest I hads no issues, there was nothing there No then there was a little issue at the hospital I cannot tell if this is discrimination, but all the department heads or position they were non-Americans were getting replaced after new administrator came And he told me that he has surveyed all the hospitals that's part of the university’s in assisting with the same job title is mine, I'm overpaid I said yes you are right at work but I didn't ask for raises"
annoyance,"And that, here, has not changed Now, in India that's not true, I mean, women are treated badly no matter where you go, but  once you do the work, you get paid equal Here, some of our professors will say, Oh well, he's recently married, he has a young bride, so a male doctor who would get higher salary The woman doctor wouldn’t So, it was insane"
annoyance,"I used to complain that they were too loud You couldn’t study And they were all freshmen So they were all freshmen and me there, as a graduate student, it just didn’t work out"
annoyance,"Yes I mean, it was a repetitious job I cannot say that I enjoyed it But it was a job, so I was doing it just to get through the school"
annoyance,"Oh, if you truly, as a parent or a child, why are you doing this, I don’t think they know the answer They are like, “oh isn’t that what you do at the end of your dance training Isn’t it what we should anyway do by the ninth grade, because eleventh grade and twelfth grade is complex … you know, way too much schoolwork and I can put it in my college application ” And, the colleges have become smart to this whole thing Nowadays I have that one of my students told me, they don’t give much value to the arangetrams, because there is nobody that legitimizes any arangetram, or that there is no quality bar"
annoyance,"And somehow, I was just not able to…the ECFMG was just not getting through because so many things bothered me and I think that I was not able to concentrate or something I didn’t make the ECFMG in two attempts and it was frustrating me more And it was happening to a lot of people In the meantime, I’d met some other FMGs , you know, international students in Seattle who were in the same boat like me And then, I came to know that in New Jersey, there was this one program offered for international graduates"
annoyance,"And the Indian friends, they talk about stock markets, you know how much the stock market And if these people are talking to my buddies and colleagues from the university, you talk about stock market and they'll say, God, this is horrible I mean, this is so uncivilized, to get together and rather than talking about the environmental problem, all you're talking about is how's the stock market So, you live in two different worlds and you have been very careful that when these people are talking the stock market that you don't send them the message that you will be bored by it That you think what they're talking about is stupid"
annoyance,"How will you handle that And we in Pakistan-, how could I think of sending my child to school, when my monthly earning is three thousand rupees Totally deteriorated--"
annoyance,"I just was not interested in what was going on in my classes My interest was in French existentialism, Jean Paul Sartre, and the political dimension of everything I mean something like the French intelligentsia, there was something like a coffeehouse culture there also, we even got together and talked about politics And I was very active in the theater and I did some plays with the University group And I just gave up on academia, and I didn’t have money to pay for it anyway"
disapproval,"No, no I never Professor Habibullah was apolitical, I mean though he was very progressive -- No, no"
disapproval,"No, I have no school in mind here and I am not interested in influencing other people I'm interested in teaching, the way I am thinking about the subject, the way it excites me, and I have invested a great deal of energy in teaching I mean, when you say well, I've got some twenty graduate students from here doing their thesis"
disapproval,"Yeah, yeah I would still not say that, because Presidency College as an institution doesn't have quality, stamp of quality The students, a very large section of the brighter students still go there, but inevitably afterwards they migrate to Delhi, to JNU, Delhi University also"
disapproval,"No I am not interested ” So I decided to go to private practice, in Albany And I almost signed the paper, but my boss, the academic boss in Winnipeg, said, “You can’t do that You have done so much, you should go on academic career And we'll find a place"
disapproval,"No, no, I wanted to go back and contribute to my university They wanted me to specialize and contribute to the program"
disapproval,I did not believe in that I said that I am not going to go through I want a PhD So I went to Delhi University I interviewed there
disapproval,"No, not really, because first of all, I was the major earner anyway Even though she was working in the store, I still was the backbone of it, I still worked there, I still did the financial contribution and gave the direction and so forth It wasn’t because she was working she enjoyed one special status, but we are both educated, we are both college graduates and it wasn’t like in India, if the girl is not educated, there might be a different kind of relationship I still think our relationship was good and respectful, and I would still admit from seeing from my point of view, and I don’t think she would disagree It might be 51, 49, or 60, 40, but still the man was the boss in the house"
disapproval,"No, it is not typical It just takes five years, but that area was so bad, we had a lot of turmoil and student rebellion and this and that, so they closed the university for three months and that did gradually prolong it So five years became six years Yes, dormitories"
disapproval,""" But I was not selfconfident, and so I said, ""No, it's not possible for me to study further "" Then he did not say anything By this time, the sponsorship came out, and I came here, because then I don't have to study I just had to — I'm not very technically minded I may be good in technical, you know, regarding the grades and all, but I don't have an aptitude for that"
disapproval,"That is not acceptable or not done There are two reasons for that The opportunities are not there, because so many adults are looking for jobs Plus the students are so hard-pressed for their studies and commuting back and forth to school A lot of kids have to spend one hour in the morning and one hour in the evening just reaching their college or university, so they don’t have much time for doing side jobs like the high school kids do it here"
optimism,"I think like, because I interviewed all the women participants, I guess like a primary audience because this is an academic book, right So primary audiences are always gonna be scholars and students, but my hope is that I write the book in a way that the language is accessible to the communities of women, or like disaster responders, or crisis communicators, or volunteers, you know all those people who wanna work in disaster And if they see and read this book or find it online somehow, they can read the stories of women And that's what I think like the book is specifically for those people, like whoever is interested in disaster and disaster response"
optimism,"So I was hoping to go into academic medicine when I came to America That’s where I got a lot of trouble I did not get a job It was a new specialty, and I was one of the few people at that time had this training But I was not American medical graduate, American graduate"
optimism,"Actually I didn't, except my professors who had been to California, they told me it was a good place At that time, there was no TV, so I never watched anything Now, everybody in India knows everything about here, but at that time I didn't know, except what I had heard I knew there will be good education, that's all I knew"
optimism,"So, I think these students helped me survive my personal tragedies You know, when I lost my son I thought to myself, other people have sons and I can help them, you know And why don't I just do that, instead of grieving over my own sorrow So, I think that they helped me a lot And hopefully, since they’re all doctors, they will help me in my health situation, if it gets bad"
optimism,"You can have all the good ideas, but if your colleague doesn’t have good hands or doesn’t generate good reagents, ideas go down the drain, and I cannot do anything about it So this is a difficult place in terms of competing That’s why I realized that just to be able to keep myself above the water, what I have to do is do something else which the big labs are not doing, something which is still very important I am doing it, and I am hoping that at some point I will be able to get out of this type of situation where I’m considered as a teacher I teach a lot"
optimism,"Their hope is if they could recruit good faculty members--aggressive researchers--then this place might become-- But we--who were being recruited by the people--we had the trouble of recruiting associates who are good I cannot imagine a good American student will come to this university There’s no reason for a good American student to come to this university because there’s U of C , there’s Northwestern They are better-known places for their research Although in terms of doing science, my lab does as good science as someone in U of C or Northwestern"
optimism,"India had become independent , so we still had a lot of schools that were run by British missionaries, and they were  schools, where the medium of instruction was English, and the instruction was very good by Indian standards My experiences there have stood me  my life They patterned my personality, my likes, my dislikes They encouraged two things: “Play the game” and “Others,” which meant you have to  think about others, before you think about just yourself The thing I remember most was what I was always told by my father, “You’ve got to go out and get the best education in the world, because that will open doors for you"
optimism,"They can enact stringent legislations but they cannot erase the knowledge from people’s heads So hopefully, whatever the Republicans have done in the last thirty years will backfire and we can get back on track to being a more humane society, and that progressive ideals were not fought in vain after all Those were heady times to be young in Unfortunately, I don’t see that kind of youth and student activism in this day and age But I bet you, that if ever the military draft got re-instated, student activism would follow immediately"
optimism,"What that meant was that we could graduate in less than four years, so that was a very big incentive And even though it was very expensive to come here, I was able to convince my parents to sponsor me in the first year or two Then I promised I’d try to make money here to get through college So that’s how we ended up here"
optimism,"I am talking about academic opportunities for young people, individuals, children, how competitive it is So the more progress there is, the more competitive it will be So it has become a highly competitive society in terms of academics and therefore jobs Yet, there is opportunity So there is more hope"
embarrassment,"This is what it is ” Till she corrected me, which was  half the weeks of the quarter, I thought it was Dr Schubert It was embarrassing She related it to both the professors"
embarrassment,"I felt even more embarrassed at that point So I could only say I am sorry So they took me to their house, and they said we are assigned to take care of you And I thought oh that’s nice It was a family with two girls and they had other foreign students they were housing in their house"
embarrassment,"Or did you learn when you moved Nowadays if you go to India, uh, English is almost like a first  language, uh, especially in big cities; but when I was growing up, um, because of our British influence in India, they ruled India for so long, we—I did learn English in school So I had a very good knowledge of a theoretical English But I was not good in speaking, fluent in speaking when I came here And my accent was very different, it was more of  a, um, British-come-Indian accent"
embarrassment,"I had some trouble getting in --It’s an interesting story how I got in I got in Because one of the Selection Committee members was my professor and when the other examiner–questioner --some lady --asked me if I won any prizes in college, I sheepishly said “No, no, I didn’t have any <i>inaudible</i>” Then this man came to my rescue and said “What do mean no prizes Didn’t you get this prize for tennis, and cricket, and this and that ” “Yes sir, yes sir ” He had come for the --he was guest of honor for the Hostel Day celebrations Where they give prizes to people who had won something"
embarrassment,"Everyone was so proud of it and we were embarrassed “You realize, this is embarrassing ” Everything is so exaggerated when you’re that age too So like in the midst of that community we really formed a strong bond within our own feminist community The Women’s Studies program at SUNY Albany also has this thing called a feminist collective where they trained students to teach Feminism 101"
embarrassment,"Because if it was successful, I would not be sitting here working and paying rent  and — that's not true But yes, I did that And through that kind of learned a lot more about global health and about public health, particularly It's a huge shame I didn't know about public health, considering I went to the school that was number one for public health But you know, it's an outreach problem, really for the school, I guess"
embarrassment,"Of course, it was there I don't know how they realized it Or maybe it's just an American thing That was nice to kind of, like I said before, have the best of both worlds Seventh grade was pretty awkward, but in se venth grade I started to kind of win some awards and start to kind of get some recognition on speeches, making speeches, and I did some other stuff that you didn't have the opportunities in elementary school"
embarrassment,"I remember at that time, too, you know, I didn't want her to come in I don't think I told her I didn't want her to come in, but I was embarrassed I just thought, ""Oh, the kids are going to make fun of me "" But then she did, and everybody was so interested, and she looked so pretty, and everyone told me how pretty my mom was I think because the slides showed scenes of India that were not what was being taught in the school, that kind of helped also"
embarrassment,"Well, let's see Junior high was kind of a big change I think up 'til then, in grade school, I was very, very shy I'd make friends, and once I had made friends with somebody, I was pretty talkative In fact, I think I got sent to sit on the bench outside the principal's office more than once for talking during class when I wasn't supposed to be"
embarrassment,"So I would do things like tell them, ""Don't call me Alli, don't speak Malayalam,"" and then I grew out of that stage, and went into the, ""I want to learn more about India "" When people would ask me questions, especially in geography, ""Where is India in relation to--"" I didn't always have the answers, and people would be surprised by that ""What do you mean, you don't know "" So I'd get really embarrassed about that, because I thought, ""Well, gosh, I should know "" But then, I would think later, ""Well, I have the same education as they do, and nobody teaches me about India,"" unless my parents taught me something"
nervousness,"Looking back, I think I just felt really confused and very pressured, because I had been told all this time that this is what I want to do, and I think I had somewhat believed it India Association of Minnesota Oral History Project  20myself, but I enjoyed the history classes and English classes and other things so much more, and I enjoyed talking about issues and people and that kind of thing so much more than I enjoyed dissection, and I was really worried that I was missing out on something So, I think probably sometime in my junior year I started making rumblings about maybe I need to take some time off after college, and that was not going over very well at all So, ultimately, I think what I had agreed to do was to take the MCATs and then see how my scores were, and then decide what to do So, the summer between my junior and senior year, I was living at home and my parents paid for me to take this prep course, the Kaplan course, to prepare me for taking the MCATs, and neither my heart nor my mind was really in it I would go to these classes and daydream the whole time and doodle and leave early"
